Issue,Impact for Client                         (-5 to 5),Change Factor (-5 to 5),Non-interventionist ideology,Outsourced to UN Mandate,Driven by domestic jobs and growth agenda /Union priority,"Values (driven by opposition to leader, socialist solidarity)",Driven by sympathy to party Corbyn views as oppressed by other regime
Nato Funding,-2,2,1,,1,,
Defence Spending,5,5,1,,1,,
Israel-Palestine Issue,3,5,,,,1,1
The UN,0,2,1,1,,,
Relations with the US,4,5,,,,1,1
Syria,5,5,1,1,,,1
Use of force in allied attacks,4,5,1,1,,,
Relations with Russia,-3,3,1,,,1,1
Weapons Exports,5,5,,,1,,1
Policy on Yemen War,5,3,1,1,,1,1
China Relations,-3,2,,,1,1,
Position on Qatar,3,2,1,,,,1
Economic Policy (nationalisation),-2,2,,,1,,
JCPOA,4,1,1,1,,,1
Turkey,5,3,1, ,,1,1
