Organisation,Country,Rank (U Penn Guide),Description,Leadership figures & background,Charity?,Political alignment,Funding & other information,Jan 2020 Monthly Web Traffic (000 visits),Size (people),Income
Brookings Institution,US,1,Public policy think tank in Washington DC founded in 1916. Focusses on both domestic and foreign US policy.,John Rutherford Allen is President. He is a retired U.S. Marine Corps four-star general and former commander of the NATO International Security Assistance Force (ISAF) and U.S. Forces in Afghanistan. He was previously senior advisor to the secretary of defense on Middle East Security. Under Obama he was special presidential envoy to the Global Coalition to Counter ISIL,y,-1,Reported to have accepted a $15 million donation from the Qatari government in 2018. It also accepted funding from Huawei between 2012 and 2018.,2600,413,102022000
Carnegie Endowment for International Peace,US,2,"Foreign policy think tank founded in 1910 with offices in Washington DC, Beijing, Beirut, Brussels and New Delhi. The organisation produces regular publications on US foreign policy and security interests, particularly with regards to China, the Middle East, Russia, CEE and India. Negligible work on Africa outside of North Africa, or Latin America.","The President is William Burns, former Deputy Secretary of State under Obama, and the Chair is Penny Pritzker, former Secretary of Commerce under Obama.",y,0,"Has received significant funding from UK DfID, Australia, BoA, UK FCO and PACOM.",429,,41188745
Center for Strategic and International Studies,US,3,"CSIS is a think tank based in Washington DC, founded as part of Georgetown University in 1962. It focuses on issues concerning international relations, trade, technology, finance, energy and geostrategy.","Sam Nunn, former US Senator (Democrat) is Chairman Emeritus of CSIS. John Hamre, former Deputy Secretary of Defense under President Bill Clinton, is the President and CEO. ",y,0,"Governments: Japan, Taiwan, UAE (reported in the NYT donating more than $1million), US. Corps: BoA, Chevron, Northrop Grumman, Aramco, Boeing, ExxonMobil",1170,400,32300000
Chatham House (The Royal Institute of International Affairs),UK,4,"An international foreign affairs think tank and NGO based in London and founded in 1920. A largely membership-based organisation which publishes regularly, running International Affairs magazine, and hosts conferences.","Lord Jim O'Neill is the Chair of Chatham House. He previously served as Commercial Secretary to the UK Treasury, and currently serves as Vice-Chair of the UK's Northern Powerhouse Partership.",y,0,"Its largest funders are UK government deparments DfID and the Foreign & Commonwealth Office, and the Robert Bosch Stiftung. Otherwise, it is funded by corporate donors including Chevron, Open Society Foundations and Shell, as well as members ",387,,16607000
Heritage Foundation,US,5,"The Heritage Foundation is a conservative thinktank based in Washington DC which was founded in 1973. It is described as having a high influence on the policy direction of the Trump administration. Formulates an 'index of Economic Freedom' for each country, ranking them by their level of economic liberal policies.","The President is Kay Coles James, the former head of Personnel Management under President George Bush, who was appointed in 2017.",y,2,"The Grover M Hermann Endowment was the largest donor in 2018, with the John von Kannon Philanthropy Endowment, William Grewcock Intern Endowment, Miller Family Foundation and William E Simon Endowments. The Koch brothers were previously major funders, but ceased to donate since their deterioration in relations with the Trump administration.",2740,140,81056876
RAND Corporation,US,6,"The RAND (Research and Development) Corporation is a public policy think tank which was created to offer research to the US Armed Forces. It adivses on issues of national security, and conducts much advisory on classified work for US defence and intelligence agencies.","Michael D Rich is President and CEO of RAND Corporation. He was appointed in 2011, having worked at RAND since 1975.",y,0,"Most funding comes from US government organisations, departments and agencies. Also receives funding from a number of foreign government, including Canada, the EU, Australia, Norway, Saudi, UAE and Qatar.",880,2000,416682370
International Institute for Strategic Studies,UK,7,"The IISS is a London-based think tank, founded in 1958, which produces research and advises governments and corporates on security and foreign policy. It produces a yearly publication called 'The Military Balance', an annual assessment of the military capabilities of different countries.",Dr John Chipman is Director-General and Chief Executive of IISS. He has worked at IISS since 1983.,y,0,"The largest donors include aerospace and defence firms such as Airbus, BAE Systems, Boeing, Lockheed Martin, Raytheon, as well as individual donors and Taylor & Francis publishing company.",109,,17131000
Woodrow Wilson International Center for Scholars,US,8,A United States Presidential Memorial organisation and think tank based in Washington DC founded in 1945. It provides funding for academics and runs research programmes for most regions.,Jane Harman is President and CEO of the Wilson Center. She was previously a Democratic member of the House of Representatives from California and held defence positions in the Carter administration.,y,0,"30% government-funded, the rest consists of grants from foundations.",291,,33924000
Peterson Institute for International Economics,US,9,The PIIE is a think tank founded in 1981 which publishes research and policy recommendations on international economics.,"Adam Posen is the President. He was appointed in 2013. He is an economist who has published extensive research on monetary policy. From 2009-12, he has an external voting member on the Bank of England's Monetary Policy Committee.",y,0,"Major donors include the Peter G Peterson foundation, the Estate of David Rockefeller, Brevan Howard, EY, and Toyota Motors.",182,,12500000
Center for American Progress,US,10,The CAP is a progressive think tank and policy institute founded in 2003. It supports continued US cooperation with the UAE and Saudi Arabia. It was set up as an antidote to the right-leaning think tanks such as the Heritage Foundation. ,"Neera Tanden is President and CEO of CAP. Before working at CAP, she was a senior adviser for health reform under President Obama, and was director of domestic policy for the Obama-Biden presidential campaign. She also worked on policy under President Clinton. the CAP Action Fund is organisationally and financially separate to the main think tank, but allows it to actively run political advocacy campaigns, and plays a cenral role in the Democratic Party's infrastructure. ",y,-1,"Major individual donors include George Soros, Peter Lewis, Steve Bing. Walmart, CitiGroup, Wells Fargo, Northrop Grumman, Gates Foundation, Embassy of the UAE (between 500-999k). GS, BofA, Google, Time Warner, Pharma Research and Manufacturers of America.",632,,51794792
