Organisation,Country,,"Political alignment (0=left, 10=right)",Income $,
Brookings Institution,US,Public policy think tank in Washington DC founded in 1916 focussing on both domestic and foreign US policy.,2,"102,022,000",
Carnegie Endowment for International Peace,US,"Foreign policy think tank founded in 1910 with offices in Washington DC, Beijing, Beirut, Brussels and New Delhi which produces regular publications on US foreign policy and security interests.",4,"41,188,745",
Center for Strategic and International Studies,US,"CSIS is a think tank based in Washington DC, founded as part of Georgetown University in 1962 which focuses on issues concerning international relations, trade, technology, finance, energy and geostrategy.",5,"32,300,000",
Chatham House (The Royal Institute of International Affairs),UK,An international foreign affairs think tank and NGO based in London and founded in 1920 which is a largely membership-based organisation.,6,"22,167,040",
Heritage Foundation,US,"A conservative think tank based in Washington DC which was founded in 1973, which has a high influence on the policy direction of the Trump administration. ",10,"81,056,876",
RAND Corporation,US,"The RAND (Research and Development) Corporation is a public policy think tank which was created to offer research to the US Armed Forces, advising on issues of national security.",5,"416,682,370",
International Institute for Strategic Studies,UK,"The IISS is a London-based think tank, founded in 1958, which produces research and advises governments and corporates on security and foreign policy.",6,"22,866,476",
Woodrow Wilson International Center for Scholars,US,A United States Presidential Memorial organisation and think tank based in Washington DC founded in 1945 providing funding for academics and running research programmes for most regions.,5,"33,924,000",
Peterson Institute for International Economics,US,The PIIE is a think tank founded in 1981 which publishes research and policy recommendations on international economics.,5,"12,500,000",
Center for American Progress,US,The CAP is a progressive centre-left think tank and policy institute founded in 2003 with close links to the Clinton and Obama presidential campaigns. ,2,"51,794,792",
Cato Institute,US,The Cato institute is a free-market public policy think tank which often criticises foreign policy from a non-interventionist perspective.,9,"31,105,000",
Council on Foreign Relations,US,"A foreign and security policy think tank, member organisation and publisher founded in 1921 which provides comprehensive coverage on all regions. ",4,81709800,
ECFR,UK,"'Pan-European' foreign and security policy think tank founded in 2007 in Berlin, with offices in London, Berlin, Madrid, Paris, Rome, Sofia and Warsaw, established with the help of Open Society Foundations.",4,"9,698,587",
Centre for Economic Policy Research ,UK,A London-based think tank founded in 1983 which conducts economic research and publishes work on a media platform called VoxEU.,5,"4,671,804",
Amnesty International UK (Charitable Trust),UK,"An NGO based in London and founded in 1961 which runs international campaigns for human rights via legal advocacy, awareness campaigns, research and lobbying.",1,"26,858,866",
IDEAs,UK,IDEAs is a foreign policy think tank based at the London School of Economics was founded in 2008.,5,"1,335,909",
Royal United Services Institute,UK,The Royal United Services Institute for Defence and Security Studies is an international security and defence think tank founded in 1831. ,7,"13,174,674",
Atlantic Council,US,"Foreign policy think tank based in Washington DC, founded in 1961, with an 'Atlanticist' outlook.",5,"23,507,013",
Belfer Centre,US,"Research centre within Harvard University, founded in 1973 which focusses on international security's intersection with science, technology and climate policy.",4,,
Centre for European Reform,UK,The Centre for European reform is a pro-European think tank based in London which researches all aspects of Europe-wide policy.,6,"2,295,698",
Demos,UK,Demos is a UK think tank founded in 1993 which houses the Centre for the Analysis of Social Media (CASM) and had close links with New Labour.,3,"1,287,101",
Civitas,UK,Civitas is a centre-right public policy think tank founded in 2000 began as a unit of the Institute of Economic Affairs.  ,8,"1,015,314",
Centre for Policy Studies,UK,The Centre for Policy Studies is a think tank and pressure group in London founded in 1974 with close links to the Conservative party. ,9,"477,693",
Adam Smith Institute,UK,The Adam Smith Institute is a London-based think tank and lobbying group founded in 1977 which supports and researches neoliberal and libertarian/free-market policies.,10,"205,559",
