Organisation,Rank,Home Jurisdiction,Short Description,Leadership,"Political alignment (0=left, 10=right)",Income $,Date founded
Brookings Institution,1,US,Public policy think tank in Washington DC founded in 1916 focussing on both domestic and foreign US policy.,John Rutherford Allen (President).  ,2,102022000,1916
Carnegie Endowment for International Peace,2,US,"Foreign policy think tank founded in 1910 with offices in Washington DC, Beijing, Beirut, Brussels and New Delhi which produces regular publications on US foreign policy and security interests.",William Burns (President).  Penny Pritzker (Chair),4,41188745,1910
Center for Strategic and International Studies,3,US,"CSIS is a think tank based in Washington DC, founded as part of Georgetown University in 1962 which focuses on issues concerning international relations, trade, technology, finance, energy and geostrategy.",John Hamre (President and CEO) ,5,32300000,1962
Chatham House (The Royal Institute of International Affairs),4,UK,An international foreign affairs think tank and NGO based in London and founded in 1920 which is a largely membership-based organisation.,Lord Jim O'Neill (Chair) ,6,22167040.21,1920
Heritage Foundation,5,US,"A conservative think tank based in Washington DC which was founded in 1973, which has a high influence on the policy direction of the Trump administration. ",Kay Coles James (President) ,10,81056876,1973
RAND Corporation,6,US,"The RAND (Research and Development) Corporation is a public policy think tank which was created to offer research to the US Armed Forces, advising on issues of national security.",Michael D Rich (President and CEO),5,416682370,1948
International Institute for Strategic Studies,7,UK,"The IISS is a London-based think tank, founded in 1958, which produces research and advises governments and corporates on security and foreign policy.",Dr John Chipman (Director-General and CEO) ,6,22866475.93,1958
Woodrow Wilson International Center for Scholars,8,US,A United States Presidential Memorial organisation and think tank based in Washington DC founded in 1945 providing funding for academics and running research programmes for most regions.,Jane Harman (President and CEO) ,5,33924000,1968
Peterson Institute for International Economics,9,US,The PIIE is a think tank founded in 1981 which publishes research and policy recommendations on international economics.,Adam Posen (President),5,12500000,1981
Center for American Progress,10,US,The CAP is a progressive centre-left think tank and policy institute founded in 2003 with close links to the Clinton and Obama presidential campaigns. ,Neera Tanden (President and CEO),2,51794792,2003
Cato Institute,11,US,The Cato institute is a free-market public policy think tank which often criticises foreign policy from a non-interventionist perspective.,"David Boaz (Executive Vice President) Peter Goettler (President and CEO)",9,31105000,1974
Council on Foreign Relations,12,US,"A foreign and security policy think tank, member organisation and publisher founded in 1921 which provides comprehensive coverage on all regions. ","Richard Hass (President)David Rubenstein (Chairman)",4,81709800,1921
ECFR,13,UK,"'Pan-European' foreign and security policy think tank founded in 2007 in Berlin, with offices in London, Berlin, Madrid, Paris, Rome, Sofia and Warsaw, established with the help of Open Society Foundations.",Mark Leonard (Director and Co-founder) ,4,9698586.648,2007
Centre for Economic Policy Research ,14,UK,A London-based think tank founded in 1983 which conducts economic research and publishes work on a media platform called VoxEU.,Beatrice Weder di Mauro (President) ,5,4671803.5,1983
Amnesty International UK (Charitable Trust),15,UK,"An NGO based in London and founded in 1961 which runs international campaigns for human rights via legal advocacy, awareness campaigns, research and lobbying.",Julie Verhaar (Acting Secretary General) ,1,26858865.72,1961
IDEAs,16,UK,IDEAs is a foreign policy think tank based at the London School of Economics was founded in 2008.,Professors Michael Cox and Christopher Coker (co-Directors) ,5,1335908.885,2008
Royal United Services Institute,17,UK,The Royal United Services Institute for Defence and Security Studies is an international security and defence think tank founded in 1831. ,Karin Hippel (Director General),7,13174674.08,1831
Atlantic Council,18,US,"Foreign policy think tank based in Washington DC, founded in 1961, with an 'Atlanticist' outlook.",Frederick Kempe (President and CEO)  ,5,23507013,1961
Belfer Centre,19,US,"Research centre within Harvard University, founded in 1973 which focusses on international security's intersection with science, technology and climate policy.",Ash Carter (Director) ,4,0,1973
Centre for European Reform,20,UK,The Centre for European reform is a pro-European think tank based in London which researches all aspects of Europe-wide policy.,Charles Grant (Director)  ,6,2295697.544,1998
Demos,21,UK,Demos is a UK think tank founded in 1993 which houses the Centre for the Analysis of Social Media (CASM) and had close links with New Labour.,Polly Mackenzie (CEO ) ,3,1287100.551,1993
Civitas,22,UK,Civitas is a centre-right public policy think tank founded in 2000 began as a unit of the Institute of Economic Affairs.  ,David Green (Director)  ,8,1015313.711,2000
Centre for Policy Studies,23,UK,The Centre for Policy Studies is a think tank and pressure group in London founded in 1974 with close links to the Conservative party. ,Robert Colvile (Director),9,477693.2427,1974
Adam Smith Institute,24,UK,The Adam Smith Institute is a London-based think tank and lobbying group founded in 1977 which supports and researches neoliberal and libertarian/free-market policies.,Duncan Madsen Prie (Co-founder and Director)  ,10,205559.354,1977
test1,10,NO,,,0,25000000,
test1,10,NO,,,0,50000000,
test2,10,NO,,,0,100000000,
test3,10,NO,,,0,250000000,
test4,10,NO,,,0,500000000,
