Organisation,Rank,Home Jurisdiction,Description,Leadership figures & background,"Political alignment (0=left, 10=right)",Income $,Foundation Year
Brookings Institution,1,US,Public policy think tank in Washington DC founded in 1916. Focusses on both domestic and foreign US policy.,John Rutherford Allen (President).  ,2,102022000,1916
Carnegie Endowment for International Peace,2,US,"Foreign policy think tank founded in 1910 with offices in Washington DC, Beijing, Beirut, Brussels and New Delhi which produces regular publications on US foreign policy and security interests.",William Burns (President).  Penny Pritzker (Chair),4,41188745,1910
Center for Strategic and International Studies,3,US,"CSIS is a think tank based in Washington DC, founded as part of Georgetown University in 1962 which focuses on issues concerning international relations, trade, technology, finance, energy and geostrategy.",John Hamre (President and CEO) ,5,32300000,1962
Chatham House (The Royal Institute of International Affairs),4,UK,An international foreign affairs think tank and NGO based in London and founded in 1920 which is a largely membership-based organisation.,Lord Jim O'Neill (Chair) ,6,16607000,1920
International Institute for Strategic Studies,5,UK,"The IISS is a London-based think tank, founded in 1958, which produces research and advises governments and corporates on security and foreign policy.",Dr John Chipman (Director-General and CEO) ,6,17131000,1958
Heritage Foundation,6,US,"A conservative think tank based in Washington DC which was founded in 1973, which has a high influence on the policy direction of the Trump administration. ",Kay Coles James (President) ,10,81056876,1973
Peterson Institute for International Economics,7,US,The PIIE is a think tank founded in 1981 which publishes research and policy recommendations on international economics.,Adam Posen (President),5,12500000,1981
Woodrow Wilson International Center for Scholars,8,US,A United States Presidential Memorial organisation and think tank based in Washington DC founded in 1945 providing funding for academics and running research programmes for most regions.,Jane Harman (President and CEO) ,5,33924000,1945
Center for American Progress,9,US,The CAP is a progressive centre-left think tank and policy institute founded in 2003 with close links to the Clinton and Obama presidential campaigns. ,Neera Tanden (President and CEO),2,51794792,2003
RAND Corporation,10,US,"The RAND (Research and Development) Corporation is a public policy think tank which was created to offer research to the US Armed Forces, advising on issues of national security.",Michael D Rich (President and CEO),6,416682370,1948
Council on Foreign Relations,11,US,"A foreign and security policy think tank, member organisation and publisher founded in 1921 which provides comprehensive coverage on all regions. ","Richard Hass (President)David Rubenstein (Chairman)",4,81709800,1921
Cato Institute,12,US,The Cato institute is a free-market public policy think tank which often criticises foreign policy from a non-interventionist perspective.,"David Boaz (Executive Vice President) Peter Goettler (President and CEO)",9,31105000,1974
Human Rights Watch,13,US,Human Rights Watch is an NGO headquartered in New York founded in 1978. The organisation conducts research and advocacy on human rights and works via putting pressure on governments.,Kenneth Roth (Executive Director),1,77186223,1978
American Enterprise Institute,14,US,The American Enterprise Institute for Public Policy Research is a conservative think tank based in Washington DC and founded in 1938.,Robert Doar (President),10,61713630,1938
Amnesty International UK (Charitable Trust),15,UK,"An NGO based in London and founded in 1961 which runs international campaigns for human rights via legal advocacy, awareness campaigns, research and lobbying.",Julie Verhaar (Acting Secretary General) ,1,20122000,1961
IDEAs,16,UK,IDEAs is a foreign policy think tank based at the London School of Economics was founded in 2008.,Professors Michael Cox and Christopher Coker (co-Directors) ,5,1000830,2008
Centre for Economic Policy Research ,17,UK,A London-based think tank founded in 1983 which conducts economic research and publishes work on a media platform called VoxEU.,Beatrice Weder di Mauro (President) ,5,3500000,1983
Urban Institute,18,US,"A Washington based think thank that carries out economic and social policy research, originally focused upon 'urgan' problems and Great Society initiatives. ",Sarah Rosen Wartell (President). ,3,93880048,1968
Royal United Services Institute,19,UK,The Royal United Services Institute for Defence and Security Studies is an international security and defence think tank founded in 1831. ,Karin Hippel (Director General),7,9870141,1831
Atlantic Council,20,US,"Foreign policy think tank based in Washington DC, founded in 1961, with an 'Atlanticist' outlook.",Frederick Kempe (President and CEO)  ,5,23507013,1961
Institute of Economic Affairs,21,UK,"The Institute of Economic Affairs is a free-market, neoliberal think tank based in London and founded in 1955. It was highly influential during the premiership of Margaret Thatcher.",Mark Littlewood (Director General),8,3365033,1955
Overseas Development Institute,22,UK,A London-based think tank which focuses on international development and humanitarian issues.,Sara Pantuliano (Executive Director),5,42811000,1960
Belfer Centre,23,US,"Research centre within Harvard University, founded in 1973 which focusses on international security's intersection with science, technology and climate policy.",Ash Carter (Director) ,4,ND,1973
Centre for European Reform,24,UK,The Centre for European reform is a pro-European think tank based in London which researches all aspects of Europe-wide policy.,Charles Grant (Director)  ,6,1719880,1998
Institute of Development Studies,25,UK,"UK based think tank, focused on international development. ",Melissa Leach (Director),5,31122000,1966
